source,capacity,year
coal,217.3,2020
coal,212.9,2021
coal,208.2,2022
coal,188.3,2023
coal,176.8,2024
coal,136,2025
coal,131.6,2026
coal,125.5,2027
coal,122.9,2028
coal,120.5,2029
coal,117.9,2030
coal,116.5,2031
coal,114.5,2032
coal,113.3,2033
coal,112.7,2034
coal,110.5,2035
coal,110.5,2036
coal,109.3,2037
coal,106.2,2038
coal,105.4,2039
coal,105.4,2040
coal,105.1,2041
coal,105.1,2042
coal,105.1,2043
coal,105.1,2044
coal,102.6,2045
coal,102.6,2046
coal,102.1,2047
coal,102.1,2048
coal,102.1,2049
coal,102.1,2050
gas,245.4,2020
gas,248.7,2021
gas,261.3,2022
gas,264.7,2023
gas,268.7,2024
gas,282.7,2025
gas,295.2,2026
gas,301,2027
gas,304.3,2028
gas,307.3,2029
gas,308.4,2030
gas,313,2031
gas,317.6,2032
gas,321,2033
gas,324.9,2034
gas,329.1,2035
gas,332.3,2036
gas,336.5,2037
gas,340.4,2038
gas,342.8,2039
gas,348,2040
gas,351.3,2041
gas,353.6,2042
gas,359.4,2043
gas,363.6,2044
gas,367.8,2045
gas,370.8,2046
gas,375.4,2047
gas,380.8,2048
gas,388.6,2049
gas,394.7,2050
wind,126.5,2020
wind,134.1,2021
wind,136.6,2022
wind,163.1,2023
wind,196.2,2024
wind,196.5,2025
wind,197.2,2026
wind,198.1,2027
wind,198.7,2028
wind,199.2,2029
wind,199.5,2030
wind,200.1,2031
wind,200.8,2032
wind,201.4,2033
wind,201.9,2034
wind,202.4,2035
wind,202.8,2036
wind,203,2037
wind,203.8,2038
wind,204,2039
wind,204.5,2040
wind,205.2,2041
wind,205.3,2042
wind,206,2043
wind,207.4,2044
wind,209.1,2045
wind,210.3,2046
wind,212,2047
wind,212.2,2048
wind,214.4,2049
wind,217,2050
nuclear,97.1,2020
nuclear,92.5,2021
nuclear,92.9,2022
nuclear,92.9,2023
nuclear,93,2024
nuclear,91.9,2025
nuclear,80.7,2026
nuclear,78.8,2027
nuclear,78.8,2028
nuclear,76.8,2029
nuclear,76.9,2030
nuclear,77,2031
nuclear,77.1,2032
nuclear,76.1,2033
nuclear,74.1,2034
nuclear,74.3,2035
nuclear,73.5,2036
nuclear,73.5,2037
nuclear,73.6,2038
nuclear,73.6,2039
nuclear,72.4,2040
nuclear,72.6,2041
nuclear,72.7,2042
nuclear,72.8,2043
nuclear,72.9,2044
nuclear,73,2045
nuclear,73.1,2046
nuclear,72.2,2047
nuclear,72.2,2048
nuclear,72.2,2049
nuclear,72.3,2050
hydro,79.2,2020
hydro,79.3,2021
hydro,79.3,2022
hydro,79.3,2023
hydro,79.3,2024
hydro,79.3,2025
hydro,79.3,2026
hydro,79.3,2027
hydro,79.3,2028
hydro,79.3,2029
hydro,79.3,2030
hydro,79.3,2031
hydro,79.3,2032
hydro,79.3,2033
hydro,79.3,2034
hydro,79.3,2035
hydro,79.3,2036
hydro,79.3,2037
hydro,79.3,2038
hydro,79.3,2039
hydro,79.3,2040
hydro,79.3,2041
hydro,79.3,2042
hydro,79.3,2043
hydro,79.3,2044
hydro,79.3,2045
hydro,79.3,2046
hydro,79.3,2047
hydro,79.3,2048
hydro,79.3,2049
hydro,79.3,2050
oil,72.6,2020
oil,71.5,2021
oil,66.6,2022
oil,61.9,2023
oil,56.5,2024
oil,56.3,2025
oil,52,2026
oil,51.5,2027
oil,49.5,2028
oil,47.5,2029
oil,47,2030
oil,45.3,2031
oil,45.1,2032
oil,44.2,2033
oil,43.7,2034
oil,42.7,2035
oil,42.7,2036
oil,43.4,2037
oil,43.4,2038
oil,43.4,2039
oil,43.4,2040
oil,43.4,2041
oil,43.4,2042
oil,43.4,2043
oil,43.3,2044
oil,43.3,2045
oil,43.3,2046
oil,43.3,2047
oil,43.3,2048
oil,43.3,2049
oil,43.3,2050
solar,48.5,2020
solar,60.4,2021
solar,76.4,2022
solar,82.1,2023
solar,92.4,2024
solar,110.4,2025
solar,130.4,2026
solar,145.9,2027
solar,153.2,2028
solar,167.4,2029
solar,175.4,2030
solar,183.3,2031
solar,193.9,2032
solar,203.9,2033
solar,210.9,2034
solar,220.9,2035
solar,227.8,2036
solar,235.4,2037
solar,243.8,2038
solar,248.5,2039
solar,253.8,2040
solar,264,2041
solar,269.7,2042
solar,276.5,2043
solar,284.6,2044
solar,296.6,2045
solar,310.2,2046
solar,324.4,2047
solar,332.3,2048
solar,342.3,2049
solar,351.3,2050
