Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
195,Alabama Power Co,3,Barry,AL,Mobile,A3C1,Natural Gas Fired Combined Cycle,CT,G523,S,X,N,,,464,0.85,385,443,U,11,2023,11,2023,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
195,Alabama Power Co,3,Barry,AL,Mobile,A3ST,Natural Gas Fired Combined Cycle,CA,G523,S,Y,X,,,310,0.85,300,300,U,11,2023,11,2023,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,N,N,N,,
189,PowerSouth Energy Cooperative,56,Lowman Energy Center,AL,Washington,LEC1,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,459,0.85,394.4,442.5,V,5,2023,5,2023,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
189,PowerSouth Energy Cooperative,56,Lowman Energy Center,AL,Washington,LEC2,Natural Gas Fired Combined Cycle,CA,,S,Y,X,,,273.7,0.85,264.5,270.2,V,5,2023,5,2023,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),FL,Putnam,CT1,Natural Gas Fired Combined Cycle,CT,SCCF,S,X,N,,,384.2,0.85,351,367.6,V,12,2022,10,2022,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),FL,Putnam,CT2,Natural Gas Fired Combined Cycle,CT,SCCF,S,X,N,,,384.2,0.85,351,367.6,V,12,2022,10,2022,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),FL,Putnam,ST,Natural Gas Fired Combined Cycle,CA,SCCF,S,Y,X,,,414.8,0.85,397.4,394.5,V,12,2022,10,2022,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
54802,Dynegy -Moss Landing LLC,260,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT3,Batteries,BA,,W,X,X,,,350, ,350,350,L,6,2023,6,2023,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
3989,City of Colorado Springs - (CO),492,Martin Drake,CO,El Paso,A1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,40.6,0.85,27.3,27.3,U,4,2022,1,2023,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
3989,City of Colorado Springs - (CO),492,Martin Drake,CO,El Paso,A2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,40.6,0.85,27.3,27.3,U,4,2022,1,2023,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
3989,City of Colorado Springs - (CO),492,Martin Drake,CO,El Paso,A3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,40.6,0.85,27.3,27.3,U,5,2022,2,2023,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,N,N,Y,Y,N
3989,City of Colorado Springs - (CO),492,Martin Drake,CO,El Paso,A4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,40.6,0.85,27.3,27.3,U,5,2022,2,2023,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
3989,City of Colorado Springs - (CO),492,Martin Drake,CO,El Paso,A5,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,40.6,0.85,27.3,27.3,U,6,2022,2,2023,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
3989,City of Colorado Springs - (CO),492,Martin Drake,CO,El Paso,A6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,40.6,0.85,27.3,27.3,U,6,2022,2,2023,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,7GT1,Natural Gas Fired Combined Cycle,CT,DBCC,S,X,N,,,385.6,0.85,385.6,385.6,V,6,2022,6,2022,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,7GT2,Natural Gas Fired Combined Cycle,CT,DBCC,S,X,N,,,385.6,0.85,385.6,385.6,V,6,2022,6,2022,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,ST7,Natural Gas Fired Combined Cycle,CA,DBCC,S,N,X,,,391.8,0.85,391.8,391.8,V,6,2022,6,2022,N,Electric Utility,1,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
18454,Tampa Electric Co,645,Big Bend,FL,Hillsborough,BBST1,Natural Gas Steam Turbine,ST,,S,X,X,,,445.5,0.9,335,335,P,1,2023,1,2023,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
7140,Georgia Power Co,649,Vogtle,GA,Burke,3,Nuclear,ST,,J,X,X,,,"1,114.00",0.9,"1,114.00","1,114.00",V,4,2016,3,2023,N,Electric Utility,1,N,NUC,,,,,, ,,,,,,,,N,,N,N,N
7140,Georgia Power Co,649,Vogtle,GA,Burke,4,Nuclear,ST,,J,X,X,,,"1,114.00",0.9,"1,114.00","1,114.00",V,4,2017,12,2023,N,Electric Utility,1,N,NUC,,,,,, ,,,,,,,,N,,N,N,N
10623,City of Lakeland - (FL),676,C D McIntosh Jr,FL,Polk,IC3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,20,0.9,20,20,P,1,2024,1,2024,N,Electric Utility,1,,NG,,,,,, ,,,,,,,,,,N,N,N
10623,City of Lakeland - (FL),676,C D McIntosh Jr,FL,Polk,IC4,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,20,0.9,20,20,P,1,2024,1,2024,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
