name,facility_type,capacity,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,coordinate,plant_life,incommod,outcommod,,plant age
Sand_Point_WT1,wind,0.5,10,2011,10,2031,"(55.339722,-160.497222)",20,,,,9
Sand_Point_WT2,wind,0.5,10,2011,10,2031,"(55.339722,-160.497222)",20,,,,9
Barry_A1CT,gas,170.1,5,2000,5,2030,"(31.0069,-88.0103)",30,,,,20
Barry_A1CT2,gas,170.1,5,2000,5,2030,"(31.0069,-88.0103)",30,,,,20
Barry_A1ST,gas,195.2,5,2000,5,2030,"(31.0069,-88.0103)",30,,,,20
Barry_A2C1,gas,170.1,5,2000,5,2030,"(31.0069,-88.0103)",30,,,,20
Barry_A2C2,gas,170.1,5,2000,5,2030,"(31.0069,-88.0103)",30,,,,20
Barry_A2ST,gas,195.2,5,2000,5,2030,"(31.0069,-88.0103)",30,,,,20
Barry_A3C1,gas,464,11,2023,11,2053,"(31.0069,-88.0103)",30,,,,-3
Barry_A3ST,gas,310,11,2023,11,2053,"(31.0069,-88.0103)",30,,,,-3
Copper_1,gas,86.9,7,1980,12,2030,"(31.7569,-106.375)",30,,,,40
Greene_County_GT10,gas,80,5,1996,5,2026,"(32.6017,-87.7811)",30,,,,24
Greene_County_GT2,gas,80,5,1996,5,2026,"(32.6017,-87.7811)",30,,,,24
Greene_County_GT3,gas,80,5,1995,5,2025,"(32.6017,-87.7811)",30,,,,25
Greene_County_GT4,gas,80,5,1995,5,2025,"(32.6017,-87.7811)",30,,,,25
Greene_County_GT5,gas,80,5,1995,5,2025,"(32.6017,-87.7811)",30,,,,25
Greene_County_GT6,gas,80,5,1995,5,2025,"(32.6017,-87.7811)",30,,,,25
Greene_County_GT7,gas,80,5,1995,5,2025,"(32.6017,-87.7811)",30,,,,25
Greene_County_GT8,gas,80,5,1996,5,2026,"(32.6017,-87.7811)",30,,,,24
Greene_County_GT9,gas,80,5,1996,5,2026,"(32.6017,-87.7811)",30,,,,24
Mitchell_Dam_5,hydro,50,4,1985,4,2025,"(32.806025,-86.444892)",40,,,,35
Mitchell_Dam_6,hydro,50,4,1985,4,2025,"(32.806025,-86.444892)",40,,,,35
Mitchell_Dam_7,hydro,50,4,1985,4,2025,"(32.806025,-86.444892)",40,,,,35
Rollins_1P,hydro,12.1,8,1980,8,2020,"(39.134259,-120.953341)",40,,,,40
Browns_Ferry_1,nuclear,"1,263.50",8,1974,8,2034,"(34.7042,-87.1189)",60,,,,46
Browns_Ferry_2,nuclear,"1,152.00",3,1975,3,2035,"(34.7042,-87.1189)",60,,,,45
Browns_Ferry_3,nuclear,"1,152.00",3,1977,3,2037,"(34.7042,-87.1189)",60,,,,43
Gantt_4,hydro,1.8,2,1985,2,2025,"(31.4033,-86.479469)",40,,,,35
J_K_Smith_GT1,gas,149,3,1999,3,2029,"(37.8833,-84.1017)",30,,,,21
J_K_Smith_GT10,gas,98,5,2010,5,2040,"(37.8833,-84.1017)",30,,,,10
J_K_Smith_GT2,gas,149,1,1999,1,2029,"(37.8833,-84.1017)",30,,,,21
J_K_Smith_GT3,gas,149,4,1999,4,2029,"(37.8833,-84.1017)",30,,,,21
J_K_Smith_GT4,gas,108,11,2001,11,2031,"(37.8833,-84.1017)",30,,,,19
J_K_Smith_GT5,gas,108,11,2001,11,2031,"(37.8833,-84.1017)",30,,,,19
J_K_Smith_GT6,gas,98,1,2005,1,2035,"(37.8833,-84.1017)",30,,,,15
J_K_Smith_GT7,gas,98,1,2005,1,2035,"(37.8833,-84.1017)",30,,,,15
J_K_Smith_GT9,gas,98,5,2010,5,2040,"(37.8833,-84.1017)",30,,,,10
Whelan_Energy_Center_2,coal,248,6,2011,6,2041,"(40.580872,-98.312437)",30,,,,9
Salmon_Creek_1_HY7,hydro,8.5,12,1984,12,2024,"(58.3269,-134.4631)",40,,,,36
Skagway_3,hydro,0.3,7,1981,7,2021,"(59.4545,-135.3131)",40,,,,39
Skagway_4,hydro,0.2,7,1987,7,2027,"(59.4545,-135.3131)",40,,,,33
