source,stream,material,amount (kg/MW),mining
coal,front_need,aluminum,419,"(58.1415,-133.737)"
coal,front_need,concrete,158758,"(29.61407779151177,-98.57272320243285)"
coal,front_need,copper,454,"(33.090555555556,-109.36583333333)"
coal,front_need,iron,51340.6867,"(47.544722222222 ,-92.654444444444)"
gas,front_need,aluminum,204,"(31.0069,-88.0103)"
gas,front_need,concrete,97749,"(29.61407779151177,-98.57272320243285)"
gas,front_need,iron,31438,"(47.544722222222 ,-92.654444444444)"
hydro,front_need,aluminum,1585.2096,"(59.4545,-135.3131)"
hydro,front_need,concrete,7644000,"(29.61407779151177,-98.57272320243285)"
hydro,front_need,copper,874.5984,"(33.090555555556,-109.36583333333)"
hydro,front_need,iron,60128.64,"(47.544722222222 ,-92.654444444444)"
nuclear,front_need,aluminum,18.07,"(38.765336,-120.787366)"
nuclear,front_need,antimony,0.02,"(34.2056,-117.3344)"
nuclear,front_need,asbestos,138.24,"(57.00828525956945, 61.49193052329282)"
nuclear,front_need,cadmium,0.16,"(39.101667,-108.345556)"
nuclear,front_need,chromium,414.85,"(37.695994,-120.420152)"
nuclear,front_need,concrete,166348.67,"(29.61407779151177,-98.57272320243285)"
nuclear,front_need,copper,725.71,"(33.090555555556,-109.36583333333)"
nuclear,front_need,indium,0.49,"(23.350000,104.533333)"
nuclear,front_need,iron,34662.29,"(47.544722222222 ,-92.654444444444)"
nuclear,front_need,lead,46.65,"(-20.69674, 139.29889)"
nuclear,front_need,magnesium,782.38,"(40.66667,122.83333)"
nuclear,front_need,manganese,467.36,"(-26.752277788207593,23.043808427846685)"
nuclear,front_need,molybdenum,163.66,"(34.332298279,109.95400238)"
nuclear,front_need,nickel,484.34,"(69.42863380764027,30.778766263282996)"
nuclear,front_need,silver,3.12,"(51.472777777778 ,16.040277777778)"
nuclear,front_need,tin,1.64,"23.312166, 103.093552"
nuclear,front_need,titanium,0.01,"(58.33392,6.42122)"
nuclear,front_need,zinc,2.02,"(68.071989,-162.876044)"
solar,front_need,aluminum,19000,"(33.7706,-118.2656)"
solar,front_need,concrete,47000,"(29.61407779151177,-98.57272320243285)"
solar,front_need,copper,7000,"(33.090555555556,-109.36583333333)"
solar,front_need,germanium,440,"(68.071989,-162.876044)"
solar,front_need,glass (silica sand),70000,"(35.942922,-82.082680)"
solar,front_need,indium,380,"(23.350000,104.533333)"
solar,front_need,iron,56000,"(47.544722222222 ,-92.654444444444)"
solar,front_need,lead,2.4,"(-20.69674, 139.29889)"
solar,front_need,plastic,6000,"(39.28184198412667,-80.6943303709875)"
solar,front_need,silica,7000,"44.482054, 86.706787"
solar,front_need,tin,463.1,"23.312166, 103.093552"
wind,front_need,aluminum,8026.8,"(36.190278,-95.2894)"
wind,front_need,chromium,902,"(40.7415,-124.2103)"
wind,front_need,concrete,2246400,"(29.61407779151177,-98.57272320243285)"
wind,front_need,copper,5620.3776,"(33.090555555556,-109.36583333333)"
wind,front_need,dysprosium,17,"(24.839019,114.836978)"
wind,front_need,fiberglass ,3490.8,"(41.346980524615006,-88.86510969706033)"
wind,front_need,iron,588060.4,"(47.544722222222 ,-92.654444444444)"
wind,front_need,manganese,80.5,"(-26.752277788207593,23.043808427846685)"
wind,front_need,molybdenum,136.6,"(34.332298279,109.95400238)"
wind,front_need,neodymium,216,"(41.79583,109.96944)"
wind,front_need,nickel,663.4,"(69.42863380764027,30.778766263282996)"
wind,front_need,paint (epoxy zinc),1311.12,"(68.071989,-162.876044)"
wind,front_need,polyethylene,329.4,"(39.28184198412667,-80.6943303709875)"
wind,front_need,polymer,5888,"(28.9907,-98.0499)"
wind,front_need,porcelain/Ceramic coating ((aluminum oxide),104.98,"(31.0069,-88.0103)"
wind,front_need,praseodymium,40,"(41.79583,109.96944)"
wind,front_need,terbium,5,"(24.839019,114.836978)"
wind,front_need,zinc,26.9824,"(68.071989,-162.876044)"
