source,Operating Year,capacity
coal,1950,96
coal,1953,872.8
coal,1954,1962.8
coal,1955,1728.1
coal,1956,300
coal,1957,463.2
coal,1958,351.4
coal,1959,1866.6
coal,1960,217.6
coal,1961,1688.5
coal,1962,620.5
coal,1963,865.4
coal,1964,614
coal,1965,856.1
coal,1966,452.2
coal,1967,3811.2
coal,1968,2281.2
coal,1969,3334.8
coal,1970,3386.2
coal,1971,1306
coal,1972,763.8
coal,1973,4866.1
coal,1974,1644.3
coal,1975,2441.1
coal,1976,2999
coal,1977,4726.8
coal,1978,2529.3
coal,1979,2414.8
coal,1980,4408
coal,1981,1140.5
coal,1982,1680.9
coal,1983,423.5
coal,1984,3540.5
coal,1985,3582.9
coal,1986,2465.5
coal,1987,2223.2
coal,1989,1300
coal,1990,1880
coal,1991,3132.7
coal,1992,958.7
coal,1993,152.8
coal,1994,599.1
coal,1995,1388
coal,1996,888.5
coal,1997,89.6
coal,1998,65.5
coal,1999,229
coal,2000,119.1
coal,2001,513.7
coal,2003,90
coal,2004,585
coal,2005,434.4
coal,2006,573.8
coal,2007,1513.5
coal,2008,1584
coal,2009,1935.6
coal,2010,5303.8
coal,2011,4254.6
coal,2012,3952.5
coal,2013,1008
coal,2014,106.2
coal,2020,115717.0999
gas,1951,70.5
gas,1952,207
gas,1953,235.5
gas,1954,511.1
gas,1955,231.6
gas,1957,397
gas,1958,969.8
gas,1959,272
gas,1960,401.8
gas,1961,609.2
gas,1962,667.4
gas,1963,93.1
gas,1964,685.4
gas,1965,190.4
gas,1966,1330.9
gas,1967,1153.2
gas,1968,1950
gas,1969,663.1
gas,1970,1841.9
gas,1971,3280.9
gas,1972,1194.8
gas,1973,2165.4
gas,1974,1668.9
gas,1975,2983.1
gas,1976,585.4
gas,1977,26.6
gas,1978,595.8
gas,1980,86.9
gas,1981,379.7
gas,1987,84
gas,1988,10.4
gas,1990,4207.7
gas,1991,3305.4
gas,1992,4646
gas,1993,3980.4
gas,1994,8728.6
gas,1995,7016.2
gas,1996,4344.3
gas,1997,3612.9
gas,1998,2097.2
gas,1999,8337.2
gas,2000,28466.5
gas,2001,42470.3
gas,2002,64883.2
gas,2003,53466.9
gas,2004,24797
gas,2005,17068
gas,2006,10304
gas,2007,7447.7
gas,2008,8815.6
gas,2009,10312.4
gas,2010,7020.8
gas,2011,10932
gas,2012,10507.4
gas,2013,7532.8
gas,2014,9301
gas,2015,7110.5
gas,2016,9351.5
gas,2017,10673.1
gas,2018,21582.8
gas,2019,8753.4
gas,2020,7198.5
hydro,2020,68182.29706
solar,2020,12057.80032
wind,2020,23813.89969
gas,2021,7280.5
hydro,2021,1326.99995
