source,stream,material,amount (kg/MW),amount (kg/MWh),coordinate mining site,location mining,reference mining,mining assumptions,coordinate manufacturing,location processing,reference processing,
gas,back_waste,aluminum,48.96,0.000219178,"(55.339722,-160.497222)",,,,,,,
hydro,back_waste,aluminum,380.450304,0.002088,"(37.8833,-84.1017)",,,,,,,
coal,back_waste,aluminum,100.56,0.000546641,"(32.16,-110.9047)",,,,,,,
wind,back_waste,aluminum,2006.7,0.045815068,"(32.673097,-115.392026)",,,,,,,
solar,back_waste,aluminum,4560,0.115677321,"(33.764741,-118.09913)",,,,,,,
nuclear,back_waste,aluminum,18.07,0.0000382,"(38.2268,-121.0245)",,,,,,,
gas,front_need,aluminum,204,0.000913242,"(31.0069,-88.0103)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
hydro,front_need,aluminum,1585.2096,0.0087,"(59.4545,-135.3131)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
coal,front_need,aluminum,419,0.002277669,"(58.1415,-133.737)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
wind,front_need,aluminum,8026.8,0.183260274,"(36.190278,-95.2894)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
solar,front_need,aluminum,19000,0.481988838,"(33.7706,-118.2656)",Weipa Mine," @misc{plc_2022, title={Global : Five largest bauxite mines in 2021}, url={https://www.globaldata.com/data-insights/mining/global---five-largest-bauxite-mines-in-2090669/}, journal={GlobalData}, publisher={GlobalData Plc}, author={Plc, GlobalData}, year={2022}, month={Jul}} ","Because ""the most important alumnium ore is bauxite"", I looked up the largest bauxite mine in the world.",,,,
