source,stream,material,amount (kg/MW),amount (kg/MWh),coordinate
gas,back_waste,aluminum,48.96000000000000,0.00021917800000,"(55.339722,-160.497222)"
gas,back_waste,iron,31438.00000000000000,0.14073775600000,"(55.339722,-160.497222)"
gas,back_waste,concrete,97749.00000000000000,0.43759065300000,"(31.0069,-88.0103)"
gas,front_need,iron,31438.00000000000000,0.14073775600000,"(31.0069,-88.0103)"
gas,front_need,concrete,97749.00000000000000,0.43759065300000,"(31.0069,-88.0103)"
gas,front_need,aluminum,204.00000000000000,0.00091324200000,"(31.0069,-88.0103)"
gas,front_waste,iron_mining_w,16928.15385000000000,0.07578186900000,"(31.0069,-88.0103)"
gas,front_waste,natural_gas_waste,1.04361054800000,0.00000467000000,"(31.0069,-88.0103)"
gas,front_waste,aluminum_mining_w,476.00000000000000,0.00213089800000,"(31.7569,-106.375)"
gas,front_waste,concrete_mining_w,13753.28430000000000,0.06156900500000,"(32.6017,-87.7811)"
gas,front_waste,CO2,26576.68236000000000,0.11897521000000,"(32.6017,-87.7811)"
gas,oper_need,natural_gas,37795896.00000000000000,169.20000000000000,"(32.6017,-87.7811)"
gas,oper_need,coal,402084.00000000000000,1.80000000000000,"(32.6017,-87.7811)"
gas,oper_need,oil,134028.00000000000000,0.60000000000000,"(32.6017,-87.7811)"
gas,oper_need,limestone ,134028.00000000000000,0.60000000000000,"(32.6017,-87.7811)"
gas,oper_need,iron,134028.00000000000000,0.60000000000000,"(32.6017,-87.7811)"
gas,oper_waste,NH3,4690.98000000000000,0.02100000000000,"(32.6017,-87.7811)"
gas,oper_waste,SOx,72375.12000000000000,0.32400000000000,"(32.6017,-87.7811)"
gas,oper_waste,NMHCs,140282.64000000000000,0.62800000000000,"(32.806025,-86.444892)"
gas,oper_waste,NOx,127326.60000000000000,0.57000000000000,"(32.806025,-86.444892)"
gas,oper_waste,CO,64110.06000000000000,0.28700000000000,"(32.806025,-86.444892)"
gas,oper_waste,particulates,29709.54000000000000,0.13300000000000,"(39.134259,-120.953341)"
gas,oper_waste,CO2,98287200.00000000000000,440.00000000000000,"(34.7042,-87.1189)"
gas,oper_waste,formaldehyde,1943.40600000000000,0.00870000000000,"(34.7042,-87.1189)"
gas,oper_waste,methane leak,629931.60000000000000,2.82000000000000,"(34.7042,-87.1189)"
gas,oper_waste,benzene,14117.61600000000000,0.06320000000000,"(31.4033,-86.479469)"
gas,oper_waste,H2S,0.00314965800000,0.00000001410000,"(37.8833,-84.1017)"
gas,oper_waste,limestone ,134028.00000000000000,0.60000000000000,"(37.8833,-84.1017)"
gas,oper_waste,iron,134028.00000000000000,0.60000000000000,"(37.8833,-84.1017)"
hydro,front_waste,concrete_mining_w,1075510.80000000000000,5.90265411000000,"(37.8833,-84.1017)"
hydro,front_waste,aluminum_mining_w,3698.82240000000000,0.02030000000000,"(37.8833,-84.1017)"
hydro,front_waste,copper_mining_w,42855.32160000000000,0.23520000000000,"(37.8833,-84.1017)"
hydro,front_waste,iron_mining_w,32376.96000000000000,0.17769230800000,"(37.8833,-84.1017)"
hydro,front_waste,CO2,2733120.00000000000000,15.00000000000000,"(37.8833,-84.1017)"
hydro,back_waste,aluminum,380.45030400000000,0.00208800000000,"(37.8833,-84.1017)"
hydro,back_waste,concrete,7644000.00000000000000,41.95205479000000,"(40.580872,-98.312437)"
hydro,back_waste,copper,349.83936000000000,0.00192000000000,"(58.3269,-134.4631)"
hydro,back_waste,iron,360000.00000000000000,1.97576396200000,"(59.4545,-135.3131)"
hydro,front_need,aluminum,1585.20960000000000,0.00870000000000,"(59.4545,-135.3131)"
hydro,front_need,concrete,7644000.00000000000000,41.95205479000000,"(55.615208,-131.356111)"
hydro,front_need,copper,874.59840000000000,0.00480000000000,"(55.615208,-131.356111)"
hydro,front_need,iron,60128.64000000000000,0.33000000000000,"(57.6861,-152.895)"
coal,front_need,iron,51340.68670000000000,0.27908614200000,"(57.6861,-152.895)"
coal,front_need,concrete,158758.00000000000000,0.86300282700000,"(57.6861,-152.895)"
coal,front_need,aluminum,419.00000000000000,0.00227766900000,"(58.1415,-133.737)"
coal,front_need,copper,454.00000000000000,0.00246792800000,"(41.949,-74.2063)"
coal,oper_waste,lime_mining_w,4952769.23100000000000,8.55555555600000,"(41.949,-74.2063)"
coal,oper_waste,lime_FGC,1287720.00000000000000,7.00000000000000,"(64.505331,-165.429814)"
coal,oper_waste,limestone ,16556400.00000000000000,90.00000000000000,"(64.505331,-165.429814)"
coal,oper_need,lime_FGC,1287720.00000000000000,7.00000000000000,"(57.0516,-135.2297)"
coal,oper_need,limestone ,16556400.00000000000000,90.00000000000000,"(57.0516,-135.2297)"
coal,oper_waste,antimony,0.75423600000000,0.00000410000000,"(57.0516,-135.2297)"
coal,oper_waste,arsenic,9.01404000000000,0.00004900000000,"(33.466477,-111.781064)"
coal,oper_waste,barium,2.39148000000000,0.00001300000000,"(33.4225,-111.9122)"
