,,,Emissions
2020,front_need,coal,44653963205626.55
2020,front_need,gas,0.0
2020,front_need,hydro,834881216194483.8
2020,front_need,nuclear,0.0
2020,front_need,solar,674291032542.8933
2020,front_need,wind,49696547322766.586
2020,oper_need,coal,2.4305135877200228e+16
2020,oper_need,gas,0.0
2020,oper_need,hydro,0.0
2020,oper_need,nuclear,0.0
2020,oper_need,solar,490517726.4051193
2020,oper_need,wind,52046235627.38591
2021,front_need,coal,88188594120073.16
2021,front_need,gas,0.0
2021,front_need,hydro,1685199943645870.2
2021,front_need,nuclear,0.0
2021,front_need,solar,758962448316.1902
2021,front_need,wind,61056860577150.13
2021,oper_need,coal,4.800923378210816e+16
2021,oper_need,gas,0.0
2021,oper_need,hydro,0.0
2021,oper_need,nuclear,0.0
2021,oper_need,solar,552199097.1726921
2021,oper_need,wind,63955695277.21436
2022,front_need,coal,130378030247305.69
2022,front_need,gas,0.0
2022,front_need,hydro,2538135763893492.5
2022,front_need,nuclear,0.0
2022,front_need,solar,758962448316.1902
2022,front_need,wind,61056860577150.13
2022,oper_need,coal,7.0992939576782344e+16
2022,oper_need,gas,0.0
2022,oper_need,hydro,0.0
2022,oper_need,nuclear,0.0
2022,oper_need,solar,552199097.1726921
2022,oper_need,wind,63955695277.21436
2023,front_need,coal,170037648860520.53
2023,front_need,gas,0.0
2023,front_need,hydro,3398433956366187.5
2023,front_need,nuclear,0.0
2023,front_need,solar,758962448316.1902
2023,front_need,wind,166450507498389.53
2023,oper_need,coal,9.260249647893128e+16
2023,oper_need,gas,0.0
2023,oper_need,hydro,0.0
2023,oper_need,nuclear,0.0
2023,oper_need,solar,552199097.1726921
2023,oper_need,wind,174626765222.04956
2024,front_need,coal,209858197314287.1
2024,front_need,gas,0.0
2024,front_need,hydro,4267923656179599.5
2024,front_need,nuclear,0.0
2024,front_need,solar,758962448316.1902
2024,front_need,wind,444444428219148.8
2024,oper_need,coal,1.1428474800072312e+17
2024,oper_need,gas,0.0
2024,oper_need,hydro,0.0
2024,oper_need,nuclear,0.0
2024,oper_need,solar,552199097.1726921
2024,oper_need,wind,466441611996.5742
2025,front_need,coal,235160795447811.78
2025,front_need,gas,0.0
2025,front_need,hydro,5144541813780807.0
2025,front_need,nuclear,0.0
2025,front_need,solar,758962448316.1902
2025,front_need,wind,708071261886127.5
2025,oper_need,coal,1.2806515927668053e+17
2025,oper_need,gas,0.0
2025,oper_need,hydro,0.0
2025,oper_need,nuclear,0.0
2025,oper_need,solar,552199097.1726921
2025,oper_need,wind,743171409151.7618
2026,front_need,coal,262461855955232.94
2026,front_need,gas,0.0
2026,front_need,hydro,6034576649611524.0
2026,front_need,nuclear,0.0
2026,front_need,solar,6202433862145.846
2026,front_need,wind,977820869657521.4
2026,oper_need,coal,1.42943460711621e+17
2026,oper_need,gas,0.0
2026,oper_need,hydro,0.0
2026,oper_need,nuclear,0.0
2026,oper_need,solar,4503965504.101294
2026,oper_need,wind,1026252651946.7007
2027,front_need,coal,288283344863856.2
2027,front_need,gas,0.0
2027,front_need,hydro,6931937800352223.0
2027,front_need,nuclear,0.0
2027,front_need,solar,18188336615436.824
2027,front_need,wind,1267232494973043.2
2027,oper_need,coal,1.5702968732858755e+17
2027,oper_need,gas,0.0
2027,oper_need,hydro,0.0
2027,oper_need,nuclear,0.0
2027,oper_need,solar,13208834043.637451
2027,oper_need,wind,1329974573499.4219
2028,front_need,coal,316138549731545.75
2028,front_need,gas,0.0
2028,front_need,hydro,7832794895897045.0
2028,front_need,nuclear,0.0
2028,front_need,solar,33273952889386.89
2028,front_need,wind,1590348712258383.5
2028,oper_need,coal,1.72204067140217e+17
2028,oper_need,gas,0.0
2028,oper_need,hydro,0.0
2028,oper_need,nuclear,0.0
2028,oper_need,solar,24168960986.09215
2028,oper_need,wind,1669153478858.6936
2029,front_need,coal,347074768913425.06
2029,front_need,gas,0.0
2029,front_need,hydro,8739931403711212.0
2029,front_need,nuclear,0.0
2029,front_need,solar,54328893873672.53
2029,front_need,wind,1964784234171712.2
2029,oper_need,coal,1.890621492074258e+17
2029,oper_need,gas,0.0
2029,oper_need,hydro,0.0
2029,oper_need,nuclear,0.0
2029,oper_need,solar,39467023023.77319
2029,oper_need,wind,2062295078181.9316
2030,front_need,coal,378723610947404.9
2030,front_need,gas,0.0
2030,front_need,hydro,9653587630737346.0
2030,front_need,nuclear,0.0
2030,front_need,solar,78641592515200.02
2030,front_need,wind,2398091364683646.5
2030,oper_need,coal,2.0628295443832384e+17
2030,oper_need,gas,0.0
2030,oper_need,hydro,0.0
2030,oper_need,nuclear,0.0
2030,oper_need,solar,57132461795.594826
2030,oper_need,wind,2517416908414.265
2031,front_need,coal,409779129396981.56
2031,front_need,gas,0.0
2031,front_need,hydro,1.0573160782762788e+16
2031,front_need,nuclear,0.0
2031,front_need,solar,106277979254533.52
2031,front_need,wind,2861542372127036.0
2031,oper_need,coal,2.2318669660736278e+17
2031,oper_need,gas,0.0
2031,oper_need,hydro,0.0
2031,oper_need,nuclear,0.0
2031,oper_need,solar,77211767454.02551
2031,oper_need,wind,3004262103244.228
2032,front_need,coal,440882985152041.94
2032,front_need,gas,0.0
2032,front_need,hydro,1.149537956254498e+16
2032,front_need,nuclear,0.0
2032,front_need,solar,138389840812856.55
2032,front_need,wind,3367088895682504.5
2032,oper_need,coal,2.401505100488061e+17
2032,oper_need,gas,0.0
2032,oper_need,hydro,0.0
2032,oper_need,nuclear,0.0
2032,oper_need,solar,100540306620.41582
2032,oper_need,wind,3535313556241.751
2033,front_need,coal,471549178124694.25
2033,front_need,gas,21767654952892.887
2033,front_need,hydro,1.2420029268164562e+16
2033,front_need,nuclear,0.0
2033,front_need,solar,174727547924397.84
2033,front_need,wind,3951324851444635.5
2033,oper_need,coal,2.568964638016425e+17
2033,oper_need,gas,3427589585692408.5
2033,oper_need,hydro,0.0
2033,oper_need,nuclear,0.0
2033,oper_need,solar,126935315823.53505
2033,oper_need,wind,4149109307568.7437
2034,front_need,coal,502731658326198.06
2034,front_need,gas,71613573640518.3
2034,front_need,hydro,1.334658397973157e+16
2034,front_need,nuclear,0.0
2034,front_need,solar,213999551056517.22
2034,front_need,wind,4542722386356548.0
2034,oper_need,coal,2.7391163644746298e+17
2034,oper_need,gas,1.1224189419142088e+16
2034,oper_need,hydro,0.0
2034,oper_need,nuclear,0.0
2034,oper_need,solar,155462444681.36276
2034,oper_need,wind,4770376799972.396
2035,front_need,coal,533913186566259.3
2035,front_need,gas,136553398789868.84
2035,front_need,hydro,1.4276413864945732e+16
2035,front_need,nuclear,0.0
2035,front_need,solar,257517034061163.75
2035,front_need,wind,5163116430860617.0
2035,oper_need,coal,2.9092717040373325e+17
2035,oper_need,gas,2.138285078238707e+16
2035,oper_need,hydro,0.0
2035,oper_need,nuclear,0.0
2035,oper_need,solar,187071003475.3493
2035,oper_need,wind,5421937085706.506
2036,front_need,coal,565743076789966.4
2036,front_need,gas,212158715881877.0
2036,front_need,hydro,1.5207820945932054e+16
2036,front_need,nuclear,475369537788.71
2036,front_need,solar,304059705777257.4
2036,front_need,wind,5832117179713428.0
2036,oper_need,coal,3.0826196926064346e+17
2036,oper_need,gas,3.3217517574500996e+16
2036,oper_need,hydro,0.0
2036,oper_need,nuclear,104227767873.39552
2036,oper_need,solar,220877945754.1002
2036,oper_need,wind,6124573751848.114
2037,front_need,coal,597892304636451.2
2037,front_need,gas,279561314577672.28
2037,front_need,hydro,1.6139774611146072e+16
2037,front_need,nuclear,2074480293605.6401
2037,front_need,solar,354162798869563.3
2037,front_need,wind,6550384566079147.0
2037,oper_need,coal,3.257698769500415e+17
2037,oper_need,gas,4.619349063894329e+16
2037,oper_need,hydro,0.0
2037,oper_need,nuclear,456306728922.4174
2037,oper_need,solar,257272781221.802
2037,oper_need,wind,6878865627602.075
2038,front_need,coal,631081606544260.1
2038,front_need,gas,329165750307850.94
2038,front_need,hydro,1.7072643925074706e+16
2038,front_need,nuclear,6513680389900.116
2038,front_need,solar,408508524056836.44
2038,front_need,wind,7306406212071915.0
2038,oper_need,coal,3.438256036919612e+17
2038,oper_need,gas,6.004619668869267e+16
2038,oper_need,hydro,0.0
2038,oper_need,nuclear,1430718988678.958
2038,oper_need,solar,296749014271.0168
2038,oper_need,wind,7672751563300.546
2039,front_need,coal,664749107823247.1
2039,front_need,gas,381938594897049.2
2039,front_need,hydro,1.8005482864173004e+16
2039,front_need,nuclear,11932636550158.152
2039,front_need,solar,465979676159708.1
2039,front_need,wind,8098134233890744.0
2039,oper_need,coal,3.6213967653961754e+17
2039,oper_need,gas,7.478172314148379e+16
2039,oper_need,hydro,0.0
2039,oper_need,nuclear,2622358000762.4033
2039,oper_need,solar,338490818412.09265
2039,oper_need,wind,8503774518442.15
2040,front_need,coal,699971572311346.5
2040,front_need,gas,439084121332787.7
2040,front_need,hydro,1.8940598368845668e+16
2040,front_need,nuclear,17234837786080.842
2040,front_need,solar,527105280023760.5
2040,front_need,wind,8945117823485429.0
2040,oper_need,coal,3.8128823856676666e+17
2040,oper_need,gas,9.072748609817414e+16
2040,oper_need,hydro,0.0
2040,oper_need,nuclear,3787847687545.0625
2040,oper_need,solar,382887919654.9488
2040,oper_need,wind,9392859268400.45
2041,front_need,coal,737095113933431.4
2041,front_need,gas,499322593074853.5
2041,front_need,hydro,1.9875926341443976e+16
2041,front_need,nuclear,23492021125718.934
2041,front_need,solar,593922943745529.5
2041,front_need,wind,9823458493455402.0
2041,oper_need,coal,4.0148290256801926e+17
