,,,Emissions
2020,front_need,coal,1617186389.9147537
2020,front_need,gas,480638017.0695451
2020,front_need,hydro,2008659220.950272
2020,front_need,nuclear,103759.18637766004
2020,front_need,solar,65382812.92141171
2020,front_need,wind,1402975.2337861352
2020,oper_need,coal,524153977711.4179
2020,oper_need,gas,1299141893.0024369
2020,oper_need,hydro,0.0
2020,oper_need,nuclear,98278952.1179076
2020,oper_need,solar,490535247.60968274
2020,oper_need,wind,55904372.474778004
2021,front_need,coal,1617186389.9147537
2021,front_need,gas,480638017.0695451
2021,front_need,hydro,2008659220.950272
2021,front_need,nuclear,103759.18637766004
2021,front_need,solar,65382812.92141171
2021,front_need,wind,1402975.2337861352
2021,oper_need,coal,524153977711.4179
2021,oper_need,gas,1299141893.0024369
2021,oper_need,hydro,0.0
2021,oper_need,nuclear,98278952.1179076
2021,oper_need,solar,490535247.60968274
2021,oper_need,wind,55904372.474778004
2022,front_need,coal,1617186389.9147537
2022,front_need,gas,480638017.0695451
2022,front_need,hydro,2008659220.950272
2022,front_need,nuclear,103759.18637766004
2022,front_need,solar,65382812.92141171
2022,front_need,wind,1402975.2337861352
2022,oper_need,coal,524153977711.4179
2022,oper_need,gas,1299141893.0024369
2022,oper_need,hydro,0.0
2022,oper_need,nuclear,98278952.1179076
2022,oper_need,solar,490535247.60968274
2022,oper_need,wind,55904372.474778004
2023,front_need,coal,1617186389.9147537
2023,front_need,gas,480638017.0695451
2023,front_need,hydro,2008659220.950272
2023,front_need,nuclear,103759.18637766004
2023,front_need,solar,65382812.92141171
2023,front_need,wind,1402975.2337861352
2023,oper_need,coal,524153977711.4179
2023,oper_need,gas,1299141893.0024369
2023,oper_need,hydro,0.0
2023,oper_need,nuclear,98278952.1179076
2023,oper_need,solar,490535247.60968274
2023,oper_need,wind,55904372.474778004
2024,front_need,coal,1617186389.9147537
2024,front_need,gas,480638017.0695451
2024,front_need,hydro,2008659220.950272
2024,front_need,nuclear,103759.18637766004
2024,front_need,solar,65382812.92141171
2024,front_need,wind,1402975.2337861352
2024,oper_need,coal,524153977711.4179
2024,oper_need,gas,1299141893.0024369
2024,oper_need,hydro,0.0
2024,oper_need,nuclear,98278952.1179076
2024,oper_need,solar,490535247.60968274
2024,oper_need,wind,55904372.474778004
2025,front_need,coal,1617186389.9147537
2025,front_need,gas,480638017.0695451
2025,front_need,hydro,2008659220.950272
2025,front_need,nuclear,103759.18637766004
2025,front_need,solar,65382812.92141171
2025,front_need,wind,1402975.2337861352
2025,oper_need,coal,524153977711.4179
2025,oper_need,gas,1299141893.0024369
2025,oper_need,hydro,0.0
2025,oper_need,nuclear,98278952.1179076
2025,oper_need,solar,490535247.60968274
2025,oper_need,wind,55904372.474778004
2026,front_need,coal,1617186389.9147537
2026,front_need,gas,480638017.0695451
2026,front_need,hydro,2008659220.950272
2026,front_need,nuclear,103759.18637766004
2026,front_need,solar,65382812.92141171
2026,front_need,wind,1402975.2337861352
2026,oper_need,coal,524153977711.4179
2026,oper_need,gas,1299141893.0024369
2026,oper_need,hydro,0.0
2026,oper_need,nuclear,98278952.1179076
2026,oper_need,solar,490535247.60968274
2026,oper_need,wind,55904372.474778004
2027,front_need,coal,1617186389.9147537
2027,front_need,gas,480638017.0695451
2027,front_need,hydro,2008659220.950272
2027,front_need,nuclear,103759.18637766004
2027,front_need,solar,65382812.92141171
2027,front_need,wind,1402975.2337861352
2027,oper_need,coal,524153977711.4179
2027,oper_need,gas,1299141893.0024369
2027,oper_need,hydro,0.0
2027,oper_need,nuclear,98278952.1179076
2027,oper_need,solar,490535247.60968274
2027,oper_need,wind,55904372.474778004
2028,front_need,coal,1617186389.9147537
2028,front_need,gas,480638017.0695451
2028,front_need,hydro,2008659220.950272
2028,front_need,nuclear,103759.18637766004
2028,front_need,solar,65382812.92141171
2028,front_need,wind,1402975.2337861352
2028,oper_need,coal,524153977711.4179
2028,oper_need,gas,1299141893.0024369
2028,oper_need,hydro,0.0
2028,oper_need,nuclear,98278952.1179076
2028,oper_need,solar,490535247.60968274
2028,oper_need,wind,55904372.474778004
2029,front_need,coal,1617186389.9147537
2029,front_need,gas,480638017.0695451
2029,front_need,hydro,2008659220.950272
2029,front_need,nuclear,103759.18637766004
2029,front_need,solar,65382812.92141171
2029,front_need,wind,1402975.2337861352
2029,oper_need,coal,524153977711.4179
2029,oper_need,gas,1299141893.0024369
2029,oper_need,hydro,0.0
2029,oper_need,nuclear,98278952.1179076
2029,oper_need,solar,490535247.60968274
2029,oper_need,wind,55904372.474778004
2030,front_need,coal,1617186389.9147537
2030,front_need,gas,480638017.0695451
2030,front_need,hydro,2008659220.950272
2030,front_need,nuclear,103759.18637766004
2030,front_need,solar,65382812.92141171
2030,front_need,wind,1402975.2337861352
2030,oper_need,coal,524153977711.4179
2030,oper_need,gas,1299141893.0024369
2030,oper_need,hydro,0.0
2030,oper_need,nuclear,98278952.1179076
2030,oper_need,solar,490535247.60968274
2030,oper_need,wind,55904372.474778004
2031,front_need,coal,1617186389.9147537
2031,front_need,gas,480638017.0695451
2031,front_need,hydro,2008659220.950272
2031,front_need,nuclear,103759.18637766004
2031,front_need,solar,65382812.92141171
2031,front_need,wind,1402975.2337861352
2031,oper_need,coal,524153977711.4179
2031,oper_need,gas,1299141893.0024369
2031,oper_need,hydro,0.0
2031,oper_need,nuclear,98278952.1179076
2031,oper_need,solar,490535247.60968274
2031,oper_need,wind,55904372.474778004
2032,front_need,coal,1617186389.9147537
2032,front_need,gas,480638017.0695451
2032,front_need,hydro,2008659220.950272
2032,front_need,nuclear,103759.18637766004
2032,front_need,solar,65382812.92141171
2032,front_need,wind,1402975.2337861352
2032,oper_need,coal,524153977711.4179
2032,oper_need,gas,1299141893.0024369
2032,oper_need,hydro,0.0
2032,oper_need,nuclear,98278952.1179076
2032,oper_need,solar,490535247.60968274
2032,oper_need,wind,55904372.474778004
2033,front_need,coal,1617186389.9147537
2033,front_need,gas,480638017.0695451
2033,front_need,hydro,2008659220.950272
2033,front_need,nuclear,103759.18637766004
2033,front_need,solar,65382812.92141171
2033,front_need,wind,1402975.2337861352
2033,oper_need,coal,524153977711.4179
2033,oper_need,gas,1299141893.0024369
2033,oper_need,hydro,0.0
2033,oper_need,nuclear,98278952.1179076
2033,oper_need,solar,490535247.60968274
2033,oper_need,wind,55904372.474778004
2034,front_need,coal,1617186389.9147537
2034,front_need,gas,480638017.0695451
2034,front_need,hydro,2008659220.950272
2034,front_need,nuclear,103759.18637766004
2034,front_need,solar,65382812.92141171
2034,front_need,wind,1402975.2337861352
2034,oper_need,coal,524153977711.4179
2034,oper_need,gas,1299141893.0024369
2034,oper_need,hydro,0.0
2034,oper_need,nuclear,98278952.1179076
2034,oper_need,solar,490535247.60968274
2034,oper_need,wind,55904372.474778004
2035,front_need,coal,1617186389.9147537
2035,front_need,gas,480638017.0695451
2035,front_need,hydro,1790669261.8860614
2035,front_need,nuclear,103759.18637766004
2035,front_need,solar,65382812.92141171
2035,front_need,wind,1402975.2337861352
2035,oper_need,coal,524153977711.4179
2035,oper_need,gas,1299141893.0024369
2035,oper_need,hydro,0.0
2035,oper_need,nuclear,98278952.1179076
2035,oper_need,solar,490535247.60968274
2035,oper_need,wind,55904372.474778004
2036,front_need,coal,1617186389.9147537
2036,front_need,gas,480638017.0695451
2036,front_need,hydro,1790669261.8860614
2036,front_need,nuclear,103759.18637766004
2036,front_need,solar,65382812.92141171
2036,front_need,wind,1402975.2337861352
2036,oper_need,coal,524153977711.4179
2036,oper_need,gas,1299141893.0024369
2036,oper_need,hydro,0.0
2036,oper_need,nuclear,98278952.1179076
2036,oper_need,solar,490535247.60968274
2036,oper_need,wind,55904372.474778004
2037,front_need,coal,1617186389.9147537
2037,front_need,gas,480638017.0695451
2037,front_need,hydro,1790669261.8860614
2037,front_need,nuclear,103759.18637766004
2037,front_need,solar,65382812.92141171
2037,front_need,wind,1143837.9215885561
2037,oper_need,coal,524153977711.4179
2037,oper_need,gas,1299141893.0024369
2037,oper_need,hydro,0.0
