,,,Emissions
2020,front_need,coal,18128148466550.426
2020,front_need,gas,89252965570743.2
2020,front_need,hydro,9314437796318192.0
2020,front_need,nuclear,0.0
2020,front_need,solar,0.0
2020,front_need,wind,1781438696852.394
2020,oper_need,coal,8055084995729218.0
2020,oper_need,gas,2.460916483528136e+16
2020,oper_need,hydro,0.0
2020,oper_need,nuclear,0.0
2020,oper_need,solar,0.0
2020,oper_need,wind,0.0
2021,front_need,coal,27132693592245.16
2021,front_need,gas,91363161686692.31
2021,front_need,hydro,1.7497871138927572e+16
2021,front_need,nuclear,0.0
2021,front_need,solar,0.0
2021,front_need,wind,1889438292690.914
2021,oper_need,coal,1.205729221803807e+16
2021,oper_need,gas,2.518440800845311e+16
2021,oper_need,hydro,0.0
2021,oper_need,nuclear,0.0
2021,oper_need,solar,0.0
2021,oper_need,wind,0.0
2022,front_need,coal,36062631291416.17
2022,front_need,gas,91963109186179.88
2022,front_need,hydro,2.5691990985000348e+16
2022,front_need,nuclear,0.0
2022,front_need,solar,0.0
2022,front_need,wind,1911455090593.1167
2022,oper_need,coal,1.6021651581830268e+16
2022,oper_need,gas,2.5346154780958236e+16
2022,oper_need,hydro,0.0
2022,oper_need,nuclear,0.0
2022,oper_need,solar,0.0
2022,oper_need,wind,0.0
2023,front_need,coal,43440732666747.87
2023,front_need,gas,90405496591972.84
2023,front_need,hydro,3.3943987386648064e+16
2023,front_need,nuclear,0.0
2023,front_need,solar,0.0
2023,front_need,wind,2143467423647.2192
2023,oper_need,coal,1.9295787081631304e+16
2023,oper_need,gas,2.4911309195671264e+16
2023,oper_need,hydro,0.0
2023,oper_need,nuclear,0.0
2023,oper_need,solar,0.0
2023,oper_need,wind,0.0
2024,front_need,coal,51083930670047.58
2024,front_need,gas,87818750796336.1
2024,front_need,hydro,4.226512211912308e+16
2024,front_need,nuclear,0.0
2024,front_need,solar,0.0
2024,front_need,wind,2723162290059.245
2024,oper_need,coal,2.2688871591472516e+16
2024,oper_need,gas,2.419523881212144e+16
2024,oper_need,hydro,0.0
2024,oper_need,nuclear,0.0
2024,oper_need,solar,0.0
2024,oper_need,wind,0.0
2025,front_need,coal,56147135593741.85
2025,front_need,gas,85220729475746.31
2025,front_need,hydro,5.063369327562024e+16
2025,front_need,nuclear,0.0
2025,front_need,solar,0.0
2025,front_need,wind,6822387011396.523
2025,oper_need,coal,2.493722120185412e+16
2025,oper_need,gas,2.3473880822963228e+16
2025,oper_need,hydro,0.0
2025,oper_need,nuclear,0.0
2025,oper_need,solar,0.0
2025,oper_need,wind,0.0
2026,front_need,coal,61265831990289.66
2026,front_need,gas,83311339882799.44
2026,front_need,hydro,5.913743565695267e+16
2026,front_need,nuclear,0.0
2026,front_need,solar,0.0
2026,front_need,wind,159709516957280.5
2026,oper_need,coal,2.720791771101977e+16
2026,oper_need,gas,2.294508672023963e+16
2026,oper_need,hydro,0.0
2026,oper_need,nuclear,0.0
2026,oper_need,solar,0.0
2026,oper_need,wind,0.0
2027,front_need,coal,66690073177769.59
2027,front_need,gas,81259120465603.64
2027,front_need,hydro,6.768327601410006e+16
2027,front_need,nuclear,0.0
2027,front_need,solar,0.0
2027,front_need,wind,323670683937762.3
2027,oper_need,coal,2.9610560379617804e+16
2027,oper_need,gas,2.238060400253675e+16
2027,oper_need,hydro,0.0
2027,oper_need,nuclear,0.0
2027,oper_need,solar,0.0
2027,oper_need,wind,0.0
2028,front_need,coal,72036171446601.9
2028,front_need,gas,80307265294762.67
2028,front_need,hydro,7.62705117619283e+16
2028,front_need,nuclear,0.0
2028,front_need,solar,0.0
2028,front_need,wind,506710025364315.5
2028,oper_need,coal,3.1980895178665344e+16
2028,oper_need,gas,2.211904363251176e+16
2028,oper_need,hydro,0.0
2028,oper_need,nuclear,0.0
2028,oper_need,solar,0.0
2028,oper_need,wind,0.0
2029,front_need,coal,78127798734776.69
2029,front_need,gas,79656701777685.61
2029,front_need,hydro,8.492410063486394e+16
2029,front_need,nuclear,0.0
2029,front_need,solar,0.0
2029,front_need,wind,718681667497800.5
2029,oper_need,coal,3.468243828881339e+16
2029,oper_need,gas,2.1939175699769252e+16
2029,oper_need,hydro,0.0
2029,oper_need,nuclear,0.0
2029,oper_need,solar,0.0
2029,oper_need,wind,0.0
2030,front_need,coal,84783648013561.94
2030,front_need,gas,77551719033822.16
2030,front_need,hydro,9.36589403751195e+16
2030,front_need,nuclear,0.0
2030,front_need,solar,0.0
2030,front_need,wind,964215848766113.6
2030,oper_need,coal,3.763865969437121e+16
2030,oper_need,gas,2.1355623733912708e+16
2030,oper_need,hydro,0.0
2030,oper_need,nuclear,0.0
2030,oper_need,solar,0.0
2030,oper_need,wind,0.0
2031,front_need,coal,91487010290955.06
2031,front_need,gas,72399236659879.97
2031,front_need,hydro,1.0246378163697885e+17
2031,front_need,nuclear,0.0
2031,front_need,solar,0.0
2031,front_need,wind,1226703304935142.2
2031,oper_need,coal,4.061409237383412e+16
2031,oper_need,gas,1.9927921974297292e+16
2031,oper_need,hydro,0.0
2031,oper_need,nuclear,0.0
2031,oper_need,solar,0.0
2031,oper_need,wind,0.0
2032,front_need,coal,98032517185766.25
2032,front_need,gas,63243589193765.164
2032,front_need,hydro,1.1133099903002272e+17
2032,front_need,nuclear,0.0
2032,front_need,solar,0.0
2032,front_need,wind,1512974958736657.2
2032,oper_need,coal,4.351572242689165e+16
2032,oper_need,gas,1.7406652143585908e+16
2032,oper_need,hydro,0.0
2032,oper_need,nuclear,0.0
2032,oper_need,solar,0.0
2032,oper_need,wind,0.0
2033,front_need,coal,104660420041206.5
2033,front_need,gas,61168425689912.93
2033,front_need,hydro,1.202270776986525e+17
2033,front_need,nuclear,0.0
2033,front_need,solar,0.0
2033,front_need,wind,1843667342092862.5
2033,oper_need,coal,4.6452992998997144e+16
2033,oper_need,gas,1.6847510316511092e+16
2033,oper_need,hydro,0.0
2033,oper_need,nuclear,0.0
2033,oper_need,solar,0.0
2033,oper_need,wind,0.0
2034,front_need,coal,111153334468852.98
2034,front_need,gas,73832385171281.64
2034,front_need,hydro,1.2912714411474227e+17
2034,front_need,nuclear,0.0
2034,front_need,solar,0.0
2034,front_need,wind,2178440847835801.5
2034,oper_need,coal,4.9331498754040664e+16
2034,oper_need,gas,2.0328704386300348e+16
2034,oper_need,hydro,0.0
2034,oper_need,nuclear,0.0
2034,oper_need,solar,0.0
2034,oper_need,wind,0.0
2035,front_need,coal,117809921122328.56
2035,front_need,gas,95415618917482.47
2035,front_need,hydro,1.3806641274492864e+17
2035,front_need,nuclear,0.0
2035,front_need,solar,0.0
2035,front_need,wind,2529826060639595.0
2035,oper_need,coal,5.2283216049115624e+16
2035,oper_need,gas,2.625856539137854e+16
2035,oper_need,hydro,0.0
2035,oper_need,nuclear,0.0
2035,oper_need,solar,0.0
2035,oper_need,wind,0.0
2036,front_need,coal,124652454516207.62
2036,front_need,gas,121673359104979.11
2036,front_need,hydro,1.470326311534879e+17
2036,front_need,nuclear,0.0
2036,front_need,solar,0.0
2036,front_need,wind,2908712445886358.5
2036,oper_need,coal,5.5319243158303656e+16
2036,oper_need,gas,3.3489778814211476e+16
2036,oper_need,hydro,0.0
2036,oper_need,nuclear,0.0
2036,oper_need,solar,0.0
2036,oper_need,wind,0.0
2037,front_need,coal,131470804211735.25
2037,front_need,gas,152064240624423.53
2037,front_need,hydro,1.5598262693518963e+17
2037,front_need,nuclear,0.0
2037,front_need,solar,0.0
2037,front_need,wind,3315458767186411.5
2037,oper_need,coal,5.834704162400179e+16
2037,oper_need,gas,4.185353899906196e+16
2037,oper_need,hydro,0.0
2037,oper_need,nuclear,0.0
2037,oper_need,solar,0.0
2037,oper_need,wind,0.0
2038,front_need,coal,138404296586410.58
2038,front_need,gas,185101550832059.8
2038,front_need,hydro,1.649700229369382e+17
2038,front_need,nuclear,0.0
2038,front_need,solar,0.0
2038,front_need,wind,3743565014964907.0
2038,oper_need,coal,6.142871720414895e+16
2038,oper_need,gas,5.094148786338844e+16
2038,oper_need,hydro,0.0
2038,oper_need,nuclear,0.0
2038,oper_need,solar,0.0
2038,oper_need,wind,0.0
2039,front_need,coal,145540633881363.03
2039,front_need,gas,219702653428720.3
2039,front_need,hydro,1.7395931036652854e+17
2039,front_need,nuclear,0.0
2039,front_need,solar,0.0
2039,front_need,wind,4192054522926635.0
2039,oper_need,coal,6.46020095627344e+16
2039,oper_need,gas,6.0461695996734296e+16
2039,oper_need,hydro,0.0
2039,oper_need,nuclear,0.0
2039,oper_need,solar,0.0
2039,oper_need,wind,0.0
2040,front_need,coal,152872968688873.28
2040,front_need,gas,257857982259797.97
2040,front_need,hydro,1.829634827092123e+17
2040,front_need,nuclear,0.0
2040,front_need,solar,0.0
2040,front_need,wind,4671917423975213.0
2040,oper_need,coal,6.7863612833438696e+16
2040,oper_need,gas,7.094392844987798e+16
2040,oper_need,hydro,0.0
2040,oper_need,nuclear,0.0
2040,oper_need,solar,0.0
2040,oper_need,wind,0.0
2041,front_need,coal,160636223219164.16
2041,front_need,gas,297590589229300.3
2041,front_need,hydro,1.9197672881048614e+17
2041,front_need,nuclear,0.0
2041,front_need,solar,0.0
2041,front_need,wind,5197570359384851.0
2041,oper_need,coal,7.131511144600256e+16
2041,oper_need,gas,8.187361583162283e+16
2041,oper_need,hydro,0.0
2041,oper_need,nuclear,0.0
2041,oper_need,solar,0.0
2041,oper_need,wind,0.0
2042,front_need,coal,168677407596334.84
2042,front_need,gas,339861853031520.25
2042,front_need,hydro,2.00995801591835e+17
2042,front_need,nuclear,0.0
2042,front_need,solar,0.0
2042,front_need,wind,5769843046599882.0
2042,oper_need,coal,7.488520459978214e+16
2042,oper_need,gas,9.350291458554883e+16
2042,oper_need,hydro,0.0
2042,oper_need,nuclear,0.0
2042,oper_need,solar,0.0
2042,oper_need,wind,0.0
2043,front_need,coal,177067599638233.53
2043,front_need,gas,385450076632225.4
2043,front_need,hydro,2.1003243698509053e+17
2043,front_need,nuclear,0.0
2043,front_need,solar,0.0
2043,front_need,wind,6376898529404236.0
2043,oper_need,coal,7.86050142771794e+16
2043,oper_need,gas,1.060377866002448e+17
2043,oper_need,hydro,0.0
2043,oper_need,nuclear,0.0
2043,oper_need,solar,0.0
2043,oper_need,wind,0.0
2044,front_need,coal,185653300329229.47
2044,front_need,gas,434072023778096.56
2044,front_need,hydro,2.1907592581913914e+17
2044,front_need,nuclear,0.0
2044,front_need,solar,0.0
2044,front_need,wind,6999823517667299.0
2044,oper_need,coal,8.241001393548485e+16
2044,oper_need,gas,1.194199653474546e+17
2044,oper_need,hydro,0.0
2044,oper_need,nuclear,0.0
2044,oper_need,solar,0.0
2044,oper_need,wind,0.0
2045,front_need,coal,194129537154151.94
2045,front_need,gas,485191059534328.44
2045,front_need,hydro,2.2813141308502006e+17
2045,front_need,nuclear,0.0
2045,front_need,solar,0.0
2045,front_need,wind,7637732070529490.0
2045,oper_need,coal,8.61701142729177e+16
2045,oper_need,gas,1.3349828473950342e+17
2045,oper_need,hydro,0.0
2045,oper_need,nuclear,0.0
2045,oper_need,solar,0.0
2045,oper_need,wind,0.0
2046,front_need,coal,202651935877728.56
2046,front_need,gas,538337486161362.44
2046,front_need,hydro,2.3719359881732378e+17
2046,front_need,nuclear,0.0
2046,front_need,solar,0.0
2046,front_need,wind,8288155982483965.0
2046,oper_need,coal,8.995288247274122e+16
2046,oper_need,gas,1.4813855771120016e+17
2046,oper_need,hydro,0.0
2046,oper_need,nuclear,0.0
2046,oper_need,solar,0.0
2046,oper_need,wind,0.0
2047,front_need,coal,211150042093892.7
2047,front_need,gas,593887391989106.9
2047,front_need,hydro,2.462558518038831e+17
2047,front_need,nuclear,0.0
2047,front_need,solar,0.0
2047,front_need,wind,8799984124925023.0
2047,oper_need,coal,9.372545386493158e+16
2047,oper_need,gas,1.634426005868204e+17
2047,oper_need,hydro,0.0
2047,oper_need,nuclear,0.0
2047,oper_need,solar,0.0
2047,oper_need,wind,0.0
2048,front_need,coal,219638737127208.5
2048,front_need,gas,652395122131089.6
2048,front_need,hydro,2.5532511566612848e+17
2048,front_need,nuclear,0.0
2048,front_need,solar,0.0
2048,front_need,wind,9301178798640514.0
2048,oper_need,coal,9.749327106835675e+16
