source,year,CO2
coal,2020,4960996806
gas,2020,245742767.5
gas,2021,248542087.8
gas,2022,273203416.5
gas,2023,286387532.2
gas,2024,66412166.41
gas,2025,204220654.8
gas,2026,129762149.5
gas,2028,23213875.38
gas,2033,1463846429
gas,2034,1905572318
gas,2035,1016880349
gas,2036,720695209.7
gas,2037,495138283
gas,2038,387388354.5
gas,2039,382878718.2
gas,2040,529563092.9
gas,2041,360996227.9
gas,2042,445477661.1
gas,2043,556569704.9
gas,2044,418126255.2
gas,2045,460897818.5
gas,2046,345152758.6
gas,2047,476277010.3
gas,2048,548704298
gas,2049,954974408.1
gas,2050,507066118
hydro,2020,1.17307E+11
hydro,2021,2283090579
hydro,2022,479672686.2
hydro,2023,1100253513
hydro,2024,1328046432
hydro,2025,1089414441
hydro,2026,2121536537
hydro,2027,1143953967
hydro,2028,492748412.7
hydro,2029,931473429
hydro,2030,961926107.8
hydro,2031,783855358.9
hydro,2032,287665965.6
hydro,2033,342549607.1
hydro,2034,256180992.6
hydro,2035,475543509.4
hydro,2036,211964391.2
hydro,2037,104433762.9
hydro,2038,105638106.1
hydro,2039,4989421.95
hydro,2040,323968311.5
hydro,2041,6365814.213
hydro,2042,241212726.7
hydro,2043,30624727.83
hydro,2044,141940452
hydro,2045,136262834
hydro,2046,52302905.96
hydro,2047,36818493.01
hydro,2048,37162591.08
hydro,2049,73464937
hydro,2050,44904797.55
nuclear,2023,118809368.4
nuclear,2029,4106068.836
nuclear,2030,20530344.18
nuclear,2036,58823435.5
nuclear,2037,153934920.4
nuclear,2038,328986766.2
nuclear,2039,112676927.4
nuclear,2041,98449666.04
nuclear,2042,245244292.2
nuclear,2043,70416414.26
nuclear,2044,130434342
nuclear,2045,379982007.6
nuclear,2046,410793521.5
nuclear,2047,417517875.8
nuclear,2048,427852371.1
nuclear,2049,342579453.8
nuclear,2050,142341941.6
solar,2020,864124365.8
solar,2021,951627521.1
solar,2022,1612803256
solar,2023,1545308994
solar,2024,756855909.5
solar,2025,104416159.5
solar,2026,898366133.9
solar,2027,1111183096
solar,2028,523643205.6
solar,2029,1018233345
solar,2030,573321512.6
solar,2031,566305494.1
solar,2032,759787172.8
solar,2033,719067011.2
solar,2034,503985444.6
solar,2035,723897245.4
solar,2036,511417124.7
solar,2037,600203128.2
solar,2038,717748372
solar,2039,534328486
solar,2040,624175134.1
solar,2041,979046819.8
solar,2042,999578896.6
solar,2043,861816902.7
solar,2044,933095100.5
solar,2045,1260325522
solar,2046,1838900096
solar,2047,1969087079
solar,2048,2179173583
solar,2049,2261961209
solar,2050,1402917749
wind,2020,15322967961
wind,2021,9458983763
wind,2022,6687595785
wind,2023,8786517721
wind,2024,22351975922
wind,2025,2086053220
wind,2026,1043283989
wind,2027,1405093853
wind,2028,3812677154
wind,2029,5834321319
wind,2030,6610188959
wind,2031,3399069822
wind,2032,4846116380
wind,2033,8941909929
wind,2034,877918238.7
wind,2035,3510128664
wind,2036,5561049647
wind,2037,5763349181
wind,2038,4407285950
wind,2039,4502966423
wind,2040,6323919669
wind,2041,15773380098
wind,2042,9523328075
wind,2043,7138008019
wind,2044,9738753922
wind,2045,23445834675
wind,2046,2858188800
wind,2047,2137142793
wind,2048,1533783126
wind,2049,5228259176
wind,2050,7507281894
