,coal,gas,wind,nuclear,hydro,oil,solar
2020,756.0,1390.0,342.0,785.0,281.9,14.0,81.9
2021,925.0,1182.0,401.8,761.0,280.3,10.0,109.3
2022,976.0,1184.0,412.8,737.0,286.9,11.0,139.8
2023,855.0,1246.0,484.6,750.0,294.3,10.0,152.9
2024,764.0,1236.0,600.6,753.0,294.5,9.0,176.8
2025,690.0,1300.0,625.8,745.0,294.0,9.0,218.2
2026,706.0,1337.0,628.4,659.0,294.1,9.0,270.0
2027,682.0,1347.0,631.8,645.0,294.2,8.0,311.4
2028,687.0,1328.0,634.3,645.0,294.1,8.0,333.7
2029,688.0,1326.0,636.3,630.0,294.1,8.0,366.5
2030,679.0,1304.0,637.4,630.0,294.0,8.0,390.4
2031,667.0,1314.0,638.8,631.0,293.8,7.0,410.6
2032,655.0,1318.0,640.9,632.0,293.6,7.0,437.2
2033,653.0,1321.0,643.0,625.0,293.6,7.0,463.9
2034,652.0,1326.0,644.9,608.0,293.5,7.0,483.7
2035,637.0,1316.0,646.7,609.0,293.6,7.0,508.4
2036,636.0,1324.0,648.2,603.0,293.6,7.0,528.5
2037,627.0,1343.0,648.9,603.0,293.5,7.0,547.7
2038,610.0,1373.0,650.6,603.0,293.4,7.0,568.6
2039,605.0,1398.0,651.4,603.0,293.3,6.0,582.6
2040,603.0,1424.0,652.8,595.0,293.2,6.0,595.7
2041,600.0,1438.0,654.6,596.0,293.1,6.0,618.9
2042,600.0,1462.0,654.0,597.0,293.0,6.0,635.3
2043,593.0,1494.0,656.7,598.0,293.0,5.0,652.7
2044,589.0,1518.0,661.9,599.0,292.4,5.0,671.9
2045,576.0,1541.0,667.3,599.0,292.6,5.0,698.7
2046,574.0,1550.0,671.4,600.0,292.6,5.0,731.7
2047,573.0,1562.0,677.1,593.0,292.5,5.0,766.2
2048,576.0,1582.0,679.8,593.0,292.7,5.0,788.0
2049,578.0,1604.0,686.2,593.0,292.5,5.0,810.4
2050,577.0,1629.0,695.1,594.0,292.3,5.0,832.4
