source (file name),stream,material,kg/MW,kg/MWh,ore grade,mining waste kg/MW,recycling factor,bib,,,,,,,,,,
gas,back_waste,aluminum,48.96,0.0002191780822,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,back_waste,iron,31030,0.1389112723,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,back_waste,iron,408,0.001826484018,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,back_waste,concrete,97749,0.4375906527,,,,"n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,front_need,iron,31030,0.1389112723,0.65,16708.46154,-,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n"",
""\n\n@MISC{noauthor_undated-xq,\n title = \""About the {LCI} database project\"",\n url ={https://www.nrel.gov/lci/about.html}}",,,,,,,,,,
gas,front_need,concrete,97749,0.4375906527,67% for cement and concrete contains 21% of cement+ sand+gravel and water,13753.2843,-,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n"",
""\n\n@MISC{noauthor_undated-xq,\n title = \""About the {LCI} database project\"",\n url ={https://www.nrel.gov/lci/about.html}}",,,,,,,,,,
gas,front_need,aluminum,204,0.0009132420091,0.3,476,0.76,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n"",
""\n\n@MISC{noauthor_undated-xq,\n title = \""About the {LCI} database project\"",\n url ={https://www.nrel.gov/lci/about.html}}",,,,,,,,,,
gas,front_need,iron,408,0.001826484018,0.65,219.6923077,-,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n"",
""\n\n@MISC{noauthor_undated-xq,\n title = \""About the {LCI} database project\"",\n url ={https://www.nrel.gov/lci/about.html}}",,,,,,,,,,
gas,front_waste,iron_mining_w,16928.15385,0.07578186877,,,,"\n@ARTICLE{Muwanguzi2012-ix,\n title = \""Characterization of chemical composition and microstructure of\n natural iron ore from Muko deposits\"",\n author = \""Muwanguzi, Abraham J B and Karasev, Andrey V and Byaruhanga,\n Joseph K and J{\""o}nsson, P{\""a}r G\"",\n journal = \""International Scholarly Research Notices\"",\n publisher = \""Hindawi\"",\n volume = 2012,\n year = 2012\n}\n"",
""\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
gas,front_waste,natural_gas_waste,1.043610548,0.000004671906831,,,,"\n@TECHREPORT{Spath2000-qg,\n title = \""Life cycle assessment of a natural gas combined cycle power\n generation system\"",\n author = \""Spath, P L and Mann, M K\"",\n abstract = \""The U.S. Department of Energy's Office of Scientific and\n Technical Information\"",\n publisher = \""Office of Scientific and Technical Information (OSTI)\"",\n number = \""NREL/TP-570-27715\"",\n institution = \""National Renewable Energy Lab. (NREL), Golden, CO (United\n States)\"",\n month = dec,\n year = 2000,\n keywords = \"" natural gas; energy conservation, consumption, and\n utilization; combined cycles; electric power; electricity;\n heating; life cycle; natural gas; power generation;\n production; steam; life cycle assessment, natural gas, power\n plant\"",\n language = \""en\""\n}\n",,,,,,,,,,
