source,Operating Year,capacity,location
coal,2020,115717.0999,"['45.61079449676027, -103.68233759077229']"
gas,2020,7198.5,"['45.61079449676027, -103.68233759077229']"
hydro,2020,68182.29706,"['45.61079449676027, -103.68233759077229']"
solar,2020,12057.80032,"['45.61079449676027, -103.68233759077229']"
wind,2020,23813.89969,"['45.61079449676027, -103.68233759077229']"
gas,2021,7280.5,"['45.61079449676027, -103.68233759077229']"
hydro,2021,1326.99995,"['45.61079449676027, -103.68233759077229']"
solar,2021,13278.8,"['45.61079449676027, -103.68233759077229']"
wind,2021,14700.5,"['45.61079449676027, -103.68233759077229']"
gas,2022,8002.9,"['45.61079449676027, -103.68233759077229']"
hydro,2022,278.79999,"['45.61079449676027, -103.68233759077229']"
solar,2022,22504.7,"['45.61079449676027, -103.68233759077229']"
wind,2022,10393.4,"['45.61079449676027, -103.68233759077229']"
gas,2023,8389.1,"['45.61079449676027, -103.68233759077229']"
hydro,2023,639.49997,"['45.61079449676027, -103.68233759077229']"
nuclear,2023,2228,"['45.61079449676027, -103.68233759077229']"
solar,2023,21562.9,"['45.61079449676027, -103.68233759077229']"
wind,2023,13655.39967,"['45.61079449676027, -103.68233759077229']"
gas,2024,1945.4,"['45.61079449676027, -103.68233759077229']"
hydro,2024,771.89997,"['45.61079449676027, -103.68233759077229']"
solar,2024,10561,"['45.61079449676027, -103.68233759077229']"
wind,2024,34737.89894,"['45.61079449676027, -103.68233759077229']"
gas,2025,5982.2,"['45.61079449676027, -103.68233759077229']"
hydro,2025,633.19998,"['45.61079449676027, -103.68233759077229']"
solar,2025,1457,"['45.61079449676027, -103.68233759077229']"
wind,2025,3242,"['45.61079449676027, -103.68233759077229']"
gas,2026,3801.1,"['45.61079449676027, -103.68233759077229']"
hydro,2026,1233.09995,"['45.61079449676027, -103.68233759077229']"
solar,2026,12535.60238,"['45.61079449676027, -103.68233759077229']"
wind,2026,1621.4,"['45.61079449676027, -103.68233759077229']"
hydro,2027,664.89997,"['45.61079449676027, -103.68233759077229']"
solar,2027,15505.20321,"['45.61079449676027, -103.68233759077229']"
wind,2027,2183.69993,"['45.61079449676027, -103.68233759077229']"
gas,2028,680,"['45.61079449676027, -103.68233759077229']"
hydro,2028,286.39999,"['45.61079449676027, -103.68233759077229']"
solar,2028,7306.8015,"['45.61079449676027, -103.68233759077229']"
wind,2028,5925.3998,"['45.61079449676027, -103.68233759077229']"
hydro,2029,541.39998,"['45.61079449676027, -103.68233759077229']"
nuclear,2029,77,"['45.61079449676027, -103.68233759077229']"
solar,2029,14208.20294,"['45.61079449676027, -103.68233759077229']"
wind,2029,9067.29969,"['45.61079449676027, -103.68233759077229']"
hydro,2030,559.09998,"['45.61079449676027, -103.68233759077229']"
nuclear,2030,385,"['45.61079449676027, -103.68233759077229']"
solar,2030,8000.00161,"['45.61079449676027, -103.68233759077229']"
wind,2030,10273.09965,"['45.61079449676027, -103.68233759077229']"
hydro,2031,455.59998,"['45.61079449676027, -103.68233759077229']"
solar,2031,7902.10164,"['45.61079449676027, -103.68233759077229']"
wind,2031,5282.59982,"['45.61079449676027, -103.68233759077229']"
hydro,2032,167.19999,"['45.61079449676027, -103.68233759077229']"
solar,2032,10601.9022,"['45.61079449676027, -103.68233759077229']"
wind,2032,7531.49975,"['45.61079449676027, -103.68233759077229']"
gas,2033,42880.19796,"['45.61079449676027, -103.68233759077229']"
hydro,2033,199.09999,"['45.61079449676027, -103.68233759077229']"
solar,2033,10033.70207,"['45.61079449676027, -103.68233759077229']"
wind,2033,13896.89952,"['45.61079449676027, -103.68233759077229']"
gas,2034,55819.59734,"['45.61079449676027, -103.68233759077229']"
hydro,2034,148.89999,"['45.61079449676027, -103.68233759077229']"
solar,2034,7032.50145,"['45.61079449676027, -103.68233759077229']"
wind,2034,1364.39996,"['45.61079449676027, -103.68233759077229']"
gas,2035,29787.29858,"['45.61079449676027, -103.68233759077229']"
hydro,2035,276.39999,"['45.61079449676027, -103.68233759077229']"
solar,2035,10101.10209,"['45.61079449676027, -103.68233759077229']"
wind,2035,5455.19981,"['45.61079449676027, -103.68233759077229']"
gas,2036,21111.199,"['45.61079449676027, -103.68233759077229']"
hydro,2036,123.19999,"['45.61079449676027, -103.68233759077229']"
nuclear,2036,1103.1,"['45.61079449676027, -103.68233759077229']"
solar,2036,7136.20147,"['45.61079449676027, -103.68233759077229']"
wind,2036,8642.59971,"['45.61079449676027, -103.68233759077229']"
gas,2037,14503.99931,"['45.61079449676027, -103.68233759077229']"
hydro,2037,60.7,"['45.61079449676027, -103.68233759077229']"
nuclear,2037,2886.69999,"['45.61079449676027, -103.68233759077229']"
solar,2037,8375.10173,"['45.61079449676027, -103.68233759077229']"
wind,2037,8956.99969,"['45.61079449676027, -103.68233759077229']"
gas,2038,11347.69946,"['45.61079449676027, -103.68233759077229']"
