source,year,CO2
coal,2020,8091347896.247393
coal,2021,7927510202.99618
coal,2022,7752501757.932384
coal,2023,7011508554.364401
coal,2024,6583296401.548731
coal,2025,5064074155.037485
coal,2026,4900236461.786272
coal,2027,4673097841.597091
coal,2028,4576284659.2213745
coal,2029,4486918644.720713
coal,2030,4390105462.3449955
coal,2031,4337975287.21961
coal,2032,4263503608.469059
coal,2033,4218820601.218728
coal,2034,4196479097.5935626
coal,2035,4114560250.9679565
coal,2036,4114560250.9679565
coal,2037,4069877243.7176256
coal,2038,3954446141.654271
coal,2039,3924657470.154051
coal,2040,3924657470.154051
coal,2041,3913486718.341468
coal,2042,3913486718.341468
coal,2043,3913486718.341468
coal,2044,3913486718.341468
coal,2045,3820397119.903279
coal,2046,3820397119.903279
coal,2047,3801779200.215641
coal,2048,3801779200.215641
coal,2049,3801779200.215641
coal,2050,3801779200.215641
gas,2020,2775104994.3757167
gas,2021,2812423032.1973944
gas,2022,2954910085.6983485
gas,2023,2993358973.1509867
gas,2024,3038592958.389384
gas,2025,3196911906.723777
gas,2026,3338268110.5937705
gas,2027,3403857389.189448
gas,2028,3441175427.0111265
gas,2029,3475100915.9399247
gas,2030,3487540261.8804836
gas,2031,3539559344.9046416
gas,2032,3591578427.9287996
gas,2033,3630027315.381438
gas,2034,3674130450.9888754
gas,2035,3721626135.489194
gas,2036,3757813323.679912
gas,2037,3805309008.18023
gas,2038,3849412143.7876678
gas,2039,3876552534.930707
gas,2040,3935356715.7406244
gas,2041,3972674753.5623026
gas,2042,3998684295.074382
gas,2043,4064273573.6700583
gas,2044,4111769258.170377
gas,2045,4159264942.6706944
gas,2046,4193190431.599493
gas,2047,4245209514.6236506
gas,2048,4306275394.695488
gas,2049,4394481665.910364
gas,2050,4463463493.39892
nuclear,2020,1730383.9315065865
nuclear,2021,1648408.9975732157
nuclear,2022,1655537.2526978566
nuclear,2023,1655537.2526978566
nuclear,2024,1657319.316479017
nuclear,2025,1637716.6148862545
nuclear,2026,1438125.4713963084
nuclear,2027,1404266.2595542637
nuclear,2028,1404266.2595542637
nuclear,2029,1368624.9839310593
nuclear,2030,1370407.0477122194
nuclear,2031,1372189.1114933796
nuclear,2032,1373971.1752745397
nuclear,2033,1356150.5374629374
nuclear,2034,1320509.2618397328
nuclear,2035,1324073.3894020533
nuclear,2036,1309816.8791527716
nuclear,2037,1309816.8791527716
nuclear,2038,1311598.9429339317
nuclear,2039,1311598.9429339317
nuclear,2040,1290214.177560009
nuclear,2041,1293778.3051223294
nuclear,2042,1295560.3689034896
nuclear,2043,1297342.4326846497
nuclear,2044,1299124.4964658103
nuclear,2045,1300906.5602469703
nuclear,2046,1302688.6240281304
nuclear,2047,1286650.0499976885
nuclear,2048,1286650.0499976885
nuclear,2049,1286650.0499976885
nuclear,2050,1288432.1137788487
solar,2020,263475.739220548
solar,2021,328122.3638952804
solar,2022,415042.19539071893
solar,2023,446007.3853609689
solar,2024,501962.0268861575
solar,2025,599746.8373185258
solar,2026,708396.6266878239
solar,2027,792600.2134490301
solar,2028,832257.3865688237
solar,2029,909398.7370210256
solar,2030,952858.6527687449
solar,2031,995775.3195696176
solar,2032,1053359.7079353456
solar,2033,1107684.6026199947
solar,2034,1145712.0288992492
solar,2035,1200036.9235838982
solar,2036,1237521.100916306
solar,2037,1278808.0208766393
solar,2038,1324440.9324117445
solar,2039,1349973.6329135296
solar,2040,1378765.8270963936
solar,2041,1434177.2196747356
solar,2042,1465142.4096449856
solar,2043,1502083.338030547
solar,2044,1546086.502725113
solar,2045,1611276.3763466917
solar,2046,1685158.2331178142
solar,2047,1762299.5835700158
solar,2048,1805216.2503708887
solar,2049,1859541.145055538
solar,2050,1908433.550271722
wind,2020,91755.75235730976
wind,2021,97268.35091790701
wind,2022,99081.70570757717
wind,2023,118303.2664780808
wind,2024,142312.08389331363
wind,2025,142529.68646807404
wind,2026,143037.42580918167
wind,2027,143690.23353346295
wind,2028,144125.43868298377
wind,2029,144488.1096409178
wind,2030,144705.7122156782
wind,2031,145140.91736519907
wind,2032,145648.6567063067
wind,2033,146083.86185582753
wind,2034,146446.5328137616
wind,2035,146809.2037716956
wind,2036,147099.34053804283
wind,2037,147244.40892121644
wind,2038,147824.6824539109
wind,2039,147969.7508370845
wind,2040,148332.42179501854
wind,2041,148840.16113612617
wind,2042,148912.69532771298
wind,2043,149420.4346688206
wind,2044,150435.9133510359
wind,2045,151668.99460801162
wind,2046,152539.4049070533
wind,2047,153772.486164029
wind,2048,153917.5545472026
wind,2049,155513.30676211233
wind,2050,157399.1957433693
